loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa)
2020-03-19 17:49:57.380 +0100,1584636596.999755,52.52523636200229,13.4434893893612,53.31132,0,217.9758156821553,10.05514664436519,14.25885196134003,-9999,36036.243500875,0.06597900390625,-0.1565704345703125,-0.9519500732421875,36036.223405875,0.3734869356470543,0.07568442869472118,0.1738370681213682,-0.02376162074506283,0.01248114090412855,-0.07730427384376526,0.006201542913913727,0.0450463593006134,-0.007515013217926025,XArbitraryZVertical,0.07824121459136821,0.0531405225322,0.188053848121163,0.9775940437997838,0.07447259128093719,-0.1729628443717957,-0.9821087718009949,36035.18341179167,unknown,2,2020-03-19 17:49:56.289 +0100,606329396.7618334,0,-5.88,101.8825
2020-03-19 17:49:57.394 +0100,1584636596.999755,52.52523636200229,13.4434893893612,53.31132,0,217.9758156821553,10.05514664436519,14.25885196134003,-9999,36036.263594875,0.0614776611328125,-0.21099853515625,-0.93902587890625,36036.243500875,0.37210132399183,0.07642272996107645,0.1703553471759765,-0.2597057223320007,0.02581961452960968,-0.1271370053291321,-0.01788445562124252,0.01479114592075348,0.03446710109710693,XArbitraryZVertical,0.0765045364471084,0.0531322481623148,0.1873679458446562,0.9778635993216344,0.07524318993091583,-0.1695325672626495,-0.9826480150222778,36035.18341179167,unknown,2,2020-03-19 17:49:56.289 +0100,606329396.7618334,0,-5.88,101.8825
2020-03-19 17:49:57.395 +0100,1584636596.999755,52.52523636200229,13.4434893893612,53.31132,0,217.9758156821553,10.05514664436519,14.25885196134003,-9999,36036.283689875,0.094482421875,-0.1457672119140625,-0.9470672607421875,36036.263594875,0.3698634377803114,0.07813276241483284,0.1627300628770621,-0.4435375928878784,0.09299913048744202,-0.1857043504714966,-0.02289821207523346,-0.05089503526687622,0.04566800594329834,XArbitraryZVertical,0.07267057330519693,0.05319692947796582,0.1862514545715505,0.9783656895089081,0.07702209800481796,-0.1620128005743027,-0.983778178691864,36035.18341179167,unknown,2,2020-03-19 17:49:56.289 +0100,606329396.7618334,0,-5.88,101.8825
2020-03-19 17:49:57.408 +0100,1584636596.999755,52.52523636200229,13.4434893893612,53.31132,0,217.9758156821553,10.05514664436519,14.25885196134003,-9999,36036.303784875,0.0802459716796875,-0.191802978515625,-0.927337646484375,36036.283689875,0.3674269688468483,0.08021189876411773,0.1548778635219318,-0.2652399837970734,0.02765325643122196,-0.09803185611963272,-0.01935137063264847,0.009894117712974548,0.04414945840835571,XArbitraryZVertical,0.06869584948224562,0.05342352724376893,0.1850375110165005,0.9788707315152666,0.07916683703660965,-0.1542594283819199,-0.9848536252975464,36035.18341179167,unknown,2,2020-03-19 17:49:56.289 +0100,606329396.7618334,0,-5.88,101.8825
2020-03-19 17:49:57.428 +0100,1584636596.999755,52.52523636200229,13.4434893893612,53.31132,0,217.9758156821553,10.05514664436519,14.25885196134003,-9999,36036.323879875,0.0619659423828125,-0.179931640625,-0.950897216796875,36036.303784875,0.3659229688540763,0.08108724354026957,0.1503662753526449,-0.2317533791065216,0.06906761229038239,-0.1132015213370323,0.01970905810594559,-0.0256318598985672,0.05521565675735474,XArbitraryZVertical,0.06644419790731489,0.05339829602584366,0.1842730382607017,0.9791716697737903,0.08008445054292679,-0.1498002856969833,-0.9854675531387329,36035.18341179167,unknown,2,2020-03-19 17:49:56.289 +0100,606329396.7618334,0,-5.88,101.8825
2020-03-19 17:49:57.448 +0100,1584636596.999755,52.52523636200229,13.4434893893612,53.31132,0,217.9758156821553,10.05514664436519,14.25885196134003,-9999,36036.343974875,0.083709716796875,-0.1627655029296875,-0.9762115478515625,36036.323879875,0.3634636472175714,0.08360764688561023,0.1445837954407364,-0.3096457421779633,0.1540297418832779,-0.1670408844947815,-0.02570731937885284,-0.0414833277463913,0.04249072074890137,XArbitraryZVertical,0.06344402170751005,0.05403883397757435,0.18307246337036,0.9795606590261963,0.0826389268040657,-0.1440805792808533,-0.9861093163490295,36035.18341179167,unknown,2,2020-03-19 17:49:56.289 +0100,606329396.7618334,0,-5.88,101.8825
2020-03-19 17:49:57.468 +0100,1584636596.999755,52.52523636200229,13.4434893893612,53.31132,0,217.9758156821553,10.05514664436519,14.25885196134003,-9999,36036.364069875,0.096221923828125,-0.146942138671875,-0.9815216064453125,36036.364069875,0.3583706068936589,0.09230860648971302,0.1316610783368269,-0.2732632458209991,0.1988786309957504,-0.1277478635311127,0.002630792558193207,-0.02059133350849152,0.006900191307067871,XArbitraryZVertical,0.05645557652144077,0.05701276477856201,0.1806390414267424,0.9802712988160399,0.0913797914981842,-0.1312810182571411,-0.9871246218681335,36035.18341179167,unknown,2,2020-03-19 17:49:56.289 +0100,606329396.7618334,0,-5.88,101.8825
2020-03-19 17:49:57.491 +0100,1584636596.999755,52.52523636200229,13.4434893893612,53.31132,0,217.9758156821553,10.05514664436519,14.25885196134003,-9999,36036.384164875,0.0979461669921875,-0.1407470703125,-0.984283447265625,36036.364069875,0.3583706068936589,0.09230860648971302,0.1316610783368269,-0.2732632458209991,0.1988786309957504,-0.1277478635311127,0.002630792558193207,-0.02059133350849152,0.006900191307067871,XArbitraryZVertical,0.05645557652144077,0.05701276477856201,0.1806390414267424,0.9802712988160399,0.0913797914981842,-0.1312810182571411,-0.9871246218681335,36035.18341179167,unknown,2,2020-03-19 17:49:56.289 +0100,606329396.7618334,0,-5.88,101.8825
2020-03-19 17:49:57.508 +0100,1584636596.999755,52.52523636200229,13.4434893893612,53.31132,0,217.9758156821553,10.05514664436519,14.25885196134003,-9999,36036.404259875,0.11224365234375,-0.1195831298828125,-0.9930419921875,36036.384164875,0.3567129122930698,0.09604541876898087,0.1272501493838712,-0.1657080501317978,0.1521683633327484,-0.0773436576128006,0.0007650107145309448,-0.01332283020019531,0.001533925533294678,XArbitraryZVertical,0.05400207513799304,0.05841441058151602,0.1798530516731285,0.9804714778643998,0.09512244910001755,-0.126907005906105,-0.9873430728912354,36035.18341179167,unknown,2,2020-03-19 17:49:56.289 +0100,606329396.7618334,0,-5.88,101.8825
2020-03-19 17:49:57.528 +0100,1584636596.999755,52.52523636200229,13.4434893893612,53.31132,0,217.9758156821553,10.05514664436519,14.25885196134003,-9999,36036.424354875,0.0996856689453125,-0.123870849609375,-0.98187255859375,36036.404259875,0.355618409650718,0.09873758720342485,0.124212161823612,-0.1358779817819595,0.1085385978221893,-0.05678431317210197,0.01302336156368256,0.005696885287761688,-0.006510138511657715,XArbitraryZVertical,0.05230150421489386,0.05944154787440956,0.1793322580392867,0.9805973184674138,0.09781774878501892,-0.1238930001854897,-0.9874625205993652,36035.18341179167,unknown,2,2020-03-19 17:49:56.289 +0100,606329396.7618334,0,-5.88,101.8825
2020-03-19 17:49:57.548 +0100,1584636596.999755,52.52523636200229,13.4434893893612,53.31132,0,217.9758156821553,10.05514664436519,14.25885196134003,-9999,36036.444449875,0.0985870361328125,-0.1288299560546875,-0.9792327880859375,36036.424354875,0.3549459469339926,0.1006274622530176,0.1218410609848283,-0.1001048013567924,0.0788634866476059,-0.03355256095528603,0.003590315580368042,-0.002271510660648346,0.002656459808349609,XArbitraryZVertical,0.0509884220991339,0.06014555850592281,0.1790061705750465,0.9806831462028868,0.09971299022436142,-0.1215398237109184,-0.9875653982162476,36035.18341179167,unknown,2,2020-03-19 17:49:56.289 +0100,606329396.7618334,0,-5.88,101.8825
2020-03-19 17:49:57.568 +0100,1584636596.999755,52.52523636200229,13.4434893893612,53.31132,0,217.9758156821553,10.05514664436519,14.25885196134003,-9999,36036.464544875,0.09576416015625,-0.1414642333984375,-0.9681243896484375,36036.444449875,0.3544428542083759,0.1022743633772291,0.1198191191366918,-0.0924370288848877,0.08154904842376709,-0.03198815509676933,-0.002241745591163635,-0.004965335130691528,0.009584546089172363,XArbitraryZVertical,0.0498637610442574,0.06076569221222342,0.1787613922964978,0.9807473775808311,0.1013641580939293,-0.119532622396946,-0.9876422882080078,36035.18341179167,unknown,2,2020-03-19 17:49:56.289 +0100,606329396.7618334,0,-5.88,101.8825
2020-03-19 17:49:57.588 +0100,1584636596.999755,52.52523636200229,13.4434893893612,53.31132,0,217.9758156821553,10.05514664436519,14.25885196134003,-9999,36036.484639875,0.0934295654296875,-0.14251708984375,-0.959381103515625,36036.464544875,0.3539450525037946,0.1040446933501555,0.1181382840003699,-0.08232130110263824,0.0936482846736908,-0.03490900993347168,-0.005719706416130066,-0.01789526641368866,0.01477473974227905,XArbitraryZVertical,0.04889567984069172,0.06147648275999128,0.1785272045307394,0.9807944614305159,0.1031331717967987,-0.1178636699914932,-0.9876596927642822,36035.18341179167,unknown,2,2020-03-19 17:49:56.289 +0100,606329396.7618334,0,-5.88,101.8825
2020-03-19 17:49:57.608 +0100,1584636596.999755,52.52523636200229,13.4434893893612,53.31132,0,217.9758156821553,10.05514664436519,14.25885196134003,-9999,36036.504734875,0.093048095703125,-0.14544677734375,-0.96356201171875,36036.484639875,0.353357345352433,0.1063456650945072,0.1160417596722914,-0.1168074980378151,0.1250219345092773,-0.04077698290348053,-0.01145121455192566,-0.0266302302479744,0.02747368812561035,XArbitraryZVertical,0.04767935519624397,0.06241005937745131,0.1782511495653449,0.980845635646207,0.105431467294693,-0.1157815009355545,-0.9876633286476135,36035.18341179167,unknown,2,2020-03-19 17:49:56.289 +0100,606329396.7618334,0,-5.88,101.8825
2020-03-19 17:49:57.629 +0100,1584636596.999755,52.52523636200229,13.4434893893612,53.31132,0,217.9758156821553,10.05514664436519,14.25885196134003,-9999,36036.524829875,0.0919036865234375,-0.1393890380859375,-0.9709014892578125,36036.504734875,0.3527632079114793,0.1090676167918553,0.113284185686425,-0.149704173207283,0.1401899755001068,-0.04431196674704552,-0.01774405688047409,-0.03283339738845825,0.02748137712478638,XArbitraryZVertical,0.04610174471972581,0.06349387777642715,0.1779644942739053,0.9809035231289581,0.1081537902355194,-0.1130420416593552,-0.9876863360404968,36035.18341179167,unknown,2,2020-03-19 17:49:56.289 +0100,606329396.7618334,0,-5.88,101.8825
2020-03-19 17:49:57.649 +0100,1584636596.999755,52.52523636200229,13.4434893893612,53.31132,0,217.9758156821553,10.05514664436519,14.25885196134003,-9999,36036.544924875,0.1116180419921875,-0.1269073486328125,-0.9622344970703125,36036.524829875,0.3523438195797997,0.1121934158925152,0.1104078196808613,-0.1275546550750732,0.1669758260250092,-0.02360252663493156,-0.02138553559780121,-0.0260634571313858,0.01625758409500122,XArbitraryZVertical,0.04442490745866021,0.06477041115204946,0.1777654598818,0.9809335313343432,0.1112765073776245,-0.1101836487650871,-0.9876624345779419,36035.18341179167,unknown,2,2020-03-19 17:49:56.289 +0100,606329396.7618334,0,-5.88,101.8825
