Workout date, 2020-03-19 17:49:16 
Duration, 131
Calories burned, 0
Mean heart rate,  98.37
Maximum heart rate, 110
Notes, Cycling

Time (seconds), Rate (beats per minute)
     6.8, 103
    13.8, 87
    16.8, 89
    34.8, 74
    39.8, 79
    40.8, 80
    45.8, 81
    74.8, 109
    84.8, 104
    86.8, 100
   103.8, 107
   111.8, 110
   119.8, 107
   122.8, 107
   128.8, 106
