loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa)
2020-03-01 09:46:53.846 +0100,17689.327435125,0.0472869873046875,-0.211029052734375,-0.980133056640625,17689.322411125,1.845156490217741,0.02117940514379225,0.2224587066813446,-0.03500767052173615,0.03595815971493721,0.07578107714653015,-0.01431049406528473,-0.03378830850124359,0.004677534103393555,XArbitraryZVertical,0.05862507767226594,0.09483409804774967,0.7929000497074952,0.5990651722305003,0.02065595611929893,-0.220628410577774,-0.9751392006874084,604745211.4955096,0,-9.27,99.09587
2020-03-01 09:46:53.860 +0100,17689.347531125,0.0291290283203125,-0.2140350341796875,-0.9738311767578125,17689.342507125,1.845312049389332,0.02107971285896298,0.2227074218184745,0.04350671172142029,-0.03415835648775101,-0.01541810482740402,0.03415824472904205,0.04099354147911072,-0.004393219947814941,XArbitraryZVertical,0.05873194990103099,0.09490722891805536,0.7929334997499025,0.5989988740178254,0.02055758610367775,-0.2208709865808487,-0.9750863313674927,604745211.4955096,0,-9.27,99.09587
2020-03-01 09:46:53.862 +0100,17689.367626125,0.0243072509765625,-0.2160797119140625,-0.97552490234375,17689.362602125,1.84498417199048,0.02067237982299116,0.2237899786391972,0.05931280180811882,-0.018806092441082,-0.03533988073468208,-0.009094966575503349,-0.0022011399269104,-0.001054048538208008,XArbitraryZVertical,0.05923427098746883,0.09520394028321089,0.7927786182637475,0.5991074065039127,0.02015544474124908,-0.221926674246788,-0.9748550057411194,604745211.4955096,0,-9.27,99.09587
2020-03-01 09:46:53.876 +0100,17689.387722125,0.0161895751953125,-0.2352447509765625,-0.9730682373046875,17689.382698125,1.844647680786053,0.02027861675927275,0.224947403541403,0.05288293957710266,-0.02776162140071392,0.009546167217195034,0.008582362905144691,-0.002659469842910767,0.0001459121704101562,XArbitraryZVertical,0.05975418212394671,0.09553391692532356,0.7926180087133794,0.5992156746523312,0.01976635865867138,-0.2230550944805145,-0.9746054410934448,604745211.4955096,0,-9.27,99.09587
2020-03-01 09:46:53.897 +0100,17689.407817125,0.01666259765625,-0.2242889404296875,-0.972381591796875,17689.402793125,1.845161772566605,0.01996871841915206,0.2260610438839352,0.03882565349340439,0.004465719684958458,0.01511280611157417,-0.01328162290155888,-0.009081229567527771,0.005625069141387939,XArbitraryZVertical,0.06018699848142378,0.09589711079217456,0.7927161437867385,0.5989845129282348,0.01945935748517513,-0.224140539765358,-0.9743625521659851,604745211.4955096,0,-9.27,99.09587
2020-03-01 09:46:53.916 +0100,17689.427912125,0.0223541259765625,-0.2258148193359375,-0.9771728515625,17689.422889125,1.844942036719019,0.01992133098407021,0.2268875206041695,0.051676906645298,-0.01605116948485374,-0.01864106208086014,0.01122809015214443,0.007318705320358276,-0.0009835362434387207,XArbitraryZVertical,0.06046461096837091,0.09620328366323119,0.7926141602361866,0.5990424532742744,0.01940948888659477,-0.2249459028244019,-0.9741778969764709,604745211.4955096,0,-9.27,99.09587
2020-03-01 09:46:53.939 +0100,17689.448008125,0.0139312744140625,-0.2299041748046875,-0.9730224609375,17689.442984125,1.844329585282983,0.01985907280398366,0.2279519192361384,0.06024990975856781,-0.0004708338528871536,-0.03060514852404594,-0.006284618750214577,-0.003423914313316345,0.003691017627716064,XArbitraryZVertical,0.06083861948369074,0.09658711002450308,0.7923838377524063,0.5992474036701713,0.01934407278895378,-0.2259829044342041,-0.9739391803741455,604745211.4955096,0,-9.27,99.09587
2020-03-01 09:46:53.956 +0100,17689.468103125,0.02410888671875,-0.2226104736328125,-0.9712371826171875,17689.463079125,1.843826905636937,0.02002846273934089,0.2288605968973892,0.02502250857651234,-0.0005729664117097855,-0.02210397087037563,0.0009702853858470917,-0.002706542611122131,-0.00159919261932373,XArbitraryZVertical,0.06106896320384438,0.09698188788940254,0.7921998414072086,0.5994035351810669,0.01950492709875107,-0.2268679738044739,-0.973730206489563,604745211.4955096,0,-9.27,99.09587
2020-03-01 09:46:53.977 +0100,17689.488199125,0.0196380615234375,-0.22918701171875,-0.9755859375,17689.483175125,1.843636976110056,0.02001563150840558,0.2293086554053837,0.02461723238229752,0.001547842286527157,0.005908455699682236,0.003060011193156242,0.001437738537788391,-0.0007240772247314453,XArbitraryZVertical,0.06121796288225766,0.09714938969812503,0.7921234763561634,0.5994621681706966,0.01949039660394192,-0.2273043245077133,-0.9736286997795105,604745211.4955096,0,-9.27,99.09587
2020-03-01 09:46:53.997 +0100,17689.508294125,0.0176849365234375,-0.230987548828125,-0.97174072265625,17689.503270125,1.844074873756405,0.02006446486500017,0.2299919788937927,0.04138835519552231,0.01468309853225946,0.03915805369615555,-2.092309296131134e-05,-0.002794817090034485,0.002583146095275879,XArbitraryZVertical,0.06138272044525954,0.09744763013614979,0.7922270661451754,0.599259961610639,0.01953482069075108,-0.2279697209596634,-0.9734722375869751,604745211.4955096,0,-9.27,99.09587
