loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa)
2020-03-06 13:47:46.946 +0100,29288.570254625,0.029693603515625,0.47418212890625,-0.8296356201171875,29288.550155625,0.873419124846734,-0.03776540806758755,-0.3165538245881758,-0.02777573466300964,-0.06825245916843414,-0.07472735643386841,0.1102516800165176,0.1229268312454224,0.09035295248031616,XArbitraryZVertical,-0.1349124818100087,-0.08354942401026924,0.4202955601938798,0.8934034873885928,-0.03588045760989189,0.3112934529781342,-0.9496362209320068,29286.441947125,unknown,2,2020-03-06 13:47:44.787 +0100,605191665.5698276,0,-8.87,98.78629
2020-03-06 13:47:46.959 +0100,29288.590353625,-0.064239501953125,0.467742919921875,-0.9148712158203125,29288.570254625,0.8728272530116972,-0.03841777353783943,-0.3179074170917497,0.02519111707806587,-0.05241591110825539,0.0394173264503479,0.09786973148584366,0.1639991700649261,0.1251857280731201,XArbitraryZVertical,-0.1354066071756183,-0.08408151873508743,0.4200416031432777,0.893398234857866,-0.03648374229669571,0.3125795125961304,-0.9491906762123108,29286.441947125,unknown,2,2020-03-06 13:47:44.787 +0100,605191665.5698276,0,-8.87,98.78629
2020-03-06 13:47:46.960 +0100,29288.610452625,-0.0631866455078125,0.3536529541015625,-0.9303436279296875,29288.590353625,0.8747135540151716,-0.03789096274756284,-0.3152020542899908,0.348891407251358,-0.02903147786855698,0.04707973822951317,-0.01311781257390976,0.1774801015853882,0.05426901578903198,XArbitraryZVertical,-0.1342265682499549,-0.083411965652591,0.4209157299572417,0.8932276362869479,-0.0360155962407589,0.3100085854530334,-0.9500513672828674,29286.441947125,unknown,2,2020-03-06 13:47:44.787 +0100,605191665.5698276,0,-8.87,98.78629
2020-03-06 13:47:46.977 +0100,29288.630551625,0.058746337890625,0.39886474609375,-0.931610107421875,29288.610452625,0.8757898456396341,-0.03632056279313734,-0.3088456349208122,0.3095168471336365,0.1632378399372101,0.04202596098184586,-0.02804297208786011,0.05083906650543213,0.029571533203125,XArbitraryZVertical,-0.1316657923620619,-0.08146001939983516,0.421448601600692,0.8935375926825735,-0.03459445014595985,0.3039591014385223,-0.9520567655563354,29286.441947125,unknown,2,2020-03-06 13:47:44.787 +0100,605191665.5698276,0,-8.87,98.78629
2020-03-06 13:47:46.997 +0100,29288.650649625,0.0464019775390625,0.3648529052734375,-0.8855133056640625,29288.630551625,0.8759892517865726,-0.03296742892542356,-0.3026147975313894,0.3835384845733643,0.09870146960020065,-0.04478290677070618,0.0621948167681694,0.104525625705719,0.01042318344116211,XArbitraryZVertical,-0.1295728521208339,-0.07867637925713311,0.4214715863760235,0.894081918026621,-0.03146370500326157,0.2980172038078308,-0.9540417790412903,29286.441947125,unknown,2,2020-03-06 13:47:44.787 +0100,605191665.5698276,0,-8.87,98.78629
2020-03-06 13:47:47.017 +0100,29288.670748625,0.004486083984375,0.34942626953125,-0.85736083984375,29288.650649625,0.8758608331556585,-0.03028258593144072,-0.298130083541923,0.182007759809494,0.1004889607429504,-0.03068343177437782,0.08321774750947952,0.08058071136474609,0.06201666593551636,XArbitraryZVertical,-0.1281336898167482,-0.07653222275365539,0.421351709685192,0.8945318211928157,-0.02894231863319874,0.2937332987785339,-0.9554491639137268,29286.441947125,unknown,2,2020-03-06 13:47:44.787 +0100,605191665.5698276,0,-8.87,98.78629
2020-03-06 13:47:47.037 +0100,29288.690847625,-0.0303497314453125,0.3291168212890625,-0.8160400390625,29288.670748625,0.8743055065495656,-0.02953734476496551,-0.2963613880959408,0.1132570207118988,0.02463700249791145,-0.1219270899891853,0.03917078673839569,0.06087911128997803,0.08509302139282227,XArbitraryZVertical,-0.1275568178316248,-0.07573062384250139,0.4206518677338142,0.8950117543544367,-0.02824557013809681,0.2920421659946442,-0.9559882879257202,29286.441947125,unknown,2,2020-03-06 13:47:44.787 +0100,605191665.5698276,0,-8.87,98.78629
2020-03-06 13:47:47.057 +0100,29288.710946625,-0.0790252685546875,0.3029632568359375,-0.7860260009765625,29288.690847625,0.8712074856518288,-0.03058024336455957,-0.2956116248903528,-0.008012795820832253,-0.00909616332501173,-0.1552351117134094,0.0050639808177948,0.04688680171966553,0.1294558048248291,XArbitraryZVertical,-0.1271188519192096,-0.07584430296649643,0.4193496741965832,0.8956753022723368,-0.02924923971295357,0.2913250029087067,-0.9561768770217896,29286.441947125,unknown,2,2020-03-06 13:47:44.787 +0100,605191665.5698276,0,-8.87,98.78629
2020-03-06 13:47:47.077 +0100,29288.731044625,-0.1276092529296875,0.2751007080078125,-0.795196533203125,29288.710946625,0.8684940457207502,-0.0313427260651955,-0.2971586844959028,-0.08009885996580124,0.01720708049833775,-0.08828330785036087,-0.03252070397138596,0.01772779226303101,0.1662740707397461,XArbitraryZVertical,-0.1277569283099417,-0.07633366431489033,0.4181454115818811,0.8961058516432409,-0.02996413968503475,0.2928045988082886,-0.9557026624679565,29286.441947125,unknown,2,2020-03-06 13:47:44.787 +0100,605191665.5698276,0,-8.87,98.78629
2020-03-06 13:47:47.097 +0100,29288.751143625,-0.126922607421875,0.2181396484375,-0.777496337890625,29288.731044625,0.867248258968629,-0.03052041649013586,-0.2977155119310979,0.02494108118116856,0.0817885547876358,-0.07769624888896942,-0.08792278915643692,-0.0177471935749054,0.1592230796813965,XArbitraryZVertical,-0.1282262253266448,-0.07600061946413134,0.4175210474354132,0.8963582353427487,-0.02917326614260674,0.2933369874954224,-0.9555639028549194,29286.441947125,unknown,2,2020-03-06 13:47:44.787 +0100,605191665.5698276,0,-8.87,98.78629
