loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa)
2020-03-15 14:36:12.381 +0100,2700.374353541667,-0.223663330078125,0.569244384765625,-0.808441162109375,2700.369329541667,-0.171693787640325,-0.2759738344974051,-0.5861171915902778,-0.01117819175124168,-0.03595717251300812,0.007509536109864712,-0.005049780011177063,0.004484593868255615,-0.01204407215118408,XArbitraryZVertical,-0.2963730770068985,-0.1066663383871611,-0.04171644786070908,0.948179809088064,-0.2270050048828125,0.5531304478645325,-0.8015705943107605,2681.622791,walking,2,2020-03-15 14:35:53.554 +0100,605972169.2991588,0,-5.86,101.2902
2020-03-15 14:36:12.382 +0100,2700.414543541667,-0.227294921875,0.553131103515625,-0.802154541015625,2700.409519541667,-0.1703641131894282,-0.2746101320296899,-0.5841808286576439,0.1293101906776428,0.07658690959215164,0.01917348243296146,-0.01021708548069,0.00875389575958252,-0.002664387226104736,XArbitraryZVertical,-0.2953622594792976,-0.1063330014084965,-0.0414380419122852,0.9485448611639653,-0.2262017130851746,0.5515162348747253,-0.8029088377952576,2681.622791,walking,2,2020-03-15 14:35:53.554 +0100,605972169.2991588,0,-5.86,101.2902
2020-03-15 14:36:12.389 +0100,2700.454733375,-0.218994140625,0.544677734375,-0.7986602783203125,2700.449709375,-0.1685964959315691,-0.2703208685620637,-0.5793127060825995,0.0893813818693161,0.06104757264256477,-0.03870366513729095,-0.002328619360923767,0.005344390869140625,0.007422268390655518,XArbitraryZVertical,-0.2928859904678875,-0.1048476764361002,-0.04160417586538019,0.9494703265943883,-0.223470076918602,0.5474489331245422,-0.8064495325088501,2681.622791,walking,2,2020-03-15 14:35:53.554 +0100,605972169.2991588,0,-5.86,101.2902
2020-03-15 14:36:12.430 +0100,2700.494923375,-0.2191162109375,0.5465087890625,-0.7889556884765625,2700.489899375,-0.1698509519085141,-0.2712685562081892,-0.578431144256196,-0.0157487653195858,-0.04180235415697098,-0.008405348286032677,-0.0007333159446716309,-0.001684367656707764,0.01559412479400635,XArbitraryZVertical,-0.2925560300195738,-0.1051662775362378,-0.0421283755989085,0.9495137435950225,-0.2243634760379791,0.5467109680175781,-0.8067020177841187,2681.622791,walking,2,2020-03-15 14:35:53.554 +0100,605972169.2991588,0,-5.86,101.2902
2020-03-15 14:36:12.469 +0100,2700.535113375,-0.2330322265625,0.5617828369140625,-0.7826995849609375,2700.530090375,-0.1709123448250249,-0.2725077032386283,-0.5788976755376785,0.01268620602786541,0.02384055964648724,-0.05735721066594124,-0.01196373999118805,0.01315319538116455,0.02172255516052246,XArbitraryZVertical,-0.2928580983526283,-0.1055713551024142,-0.04241508258442685,0.949362830324578,-0.2252942472696304,0.5471015572547913,-0.8061776757240295,2681.622791,walking,2,2020-03-15 14:35:53.554 +0100,605972171.8674319,0,-6.16,101.2908
2020-03-15 14:36:12.509 +0100,2700.575304375,-0.212249755859375,0.5517578125,-0.7898101806640625,2700.570280375,-0.1744982667311361,-0.2756283957030371,-0.5798197467555394,-0.0780046284198761,-0.08298486471176147,-0.1045248582959175,0.02756877243518829,0.003638327121734619,0.01821041107177734,XArbitraryZVertical,-0.2935497730789294,-0.1064710267789041,-0.0435880447325861,0.9489955905864479,-0.2276715934276581,0.5478731393814087,-0.8049849271774292,2681.622791,walking,2,2020-03-15 14:35:53.554 +0100,605972171.8674319,0,-6.16,101.2908
2020-03-15 14:36:12.550 +0100,2700.615494375,-0.23651123046875,0.5381011962890625,-0.790191650390625,2700.610470375,-0.1782622480448018,-0.280477765941001,-0.5823673866333342,-0.02641782723367214,0.04078805819153786,-0.004989611450582743,0.001984179019927979,-0.01454353332519531,0.02178025245666504,XArbitraryZVertical,-0.2950579014454429,-0.1080605065574974,-0.04445950563822217,0.948307536239227,-0.2311854362487793,0.5500026345252991,-0.8025275468826294,2681.622791,walking,2,2020-03-15 14:35:53.554 +0100,605972171.8674319,0,-6.16,101.2908
2020-03-15 14:36:12.590 +0100,2700.655684375,-0.2156219482421875,0.54779052734375,-0.810638427734375,2700.650660375,-0.1772542730213971,-0.2768911047615292,-0.5818845903437144,0.03609493374824524,0.05456876754760742,0.03084908053278923,0.006363809108734131,-0.00213170051574707,-0.002683639526367188,XArbitraryZVertical,-0.2946967626527554,-0.1065381500646801,-0.04454839336911778,0.9485878872437377,-0.2283781319856644,0.5495993494987488,-0.8036068677902222,2681.622791,walking,2,2020-03-15 14:35:53.554 +0100,605972171.8674319,0,-6.16,101.2908
2020-03-15 14:36:12.630 +0100,2700.695874375,-0.2284088134765625,0.5528106689453125,-0.808349609375,2700.690850375,-0.1752358170441769,-0.2747071820088403,-0.5815549304721747,0.01177943684160709,0.01298078149557114,0.03266109526157379,-0.0008815228939056396,0.001897215843200684,-0.005705118179321289,XArbitraryZVertical,-0.2943860667854911,-0.1058197143263645,-0.04393831821476044,0.9487931981382138,-0.2266717106103897,0.5493239164352417,-0.8042780756950378,2681.622791,walking,2,2020-03-15 14:35:53.554 +0100,605972171.8674319,0,-6.16,101.2908
2020-03-15 14:36:12.670 +0100,2700.736064375,-0.2260894775390625,0.564727783203125,-0.8067779541015625,2700.731041375,-0.1737166526086183,-0.2729019978986003,-0.5815192553900007,0.00146674457937479,0.03263729065656662,0.03163654357194901,0.001699909567832947,0.007252216339111328,-0.002303004264831543,XArbitraryZVertical,-0.2942496757595316,-0.1051890107905984,-0.0434859940046998,0.9489264519648571,-0.2252247482538223,0.549294114112854,-0.8047047853469849,2681.622791,walking,2,2020-03-15 14:35:53.554 +0100,605972171.8674319,0,-6.16,101.2908
