Workout date, 2020-03-15 14:28:10 
Duration, 412
Calories burned, 0
Mean heart rate, 163.04
Maximum heart rate, 173
Notes, Skating sports

Time (seconds), Rate (beats per minute)
     2.0, 125
     5.0, 125
    10.0, 125
    16.0, 126
    22.0, 126
    27.0, 128
    30.0, 131
    39.0, 149
    40.0, 150
    48.0, 150
    54.0, 149
    55.0, 150
    64.0, 159
    68.0, 162
    74.0, 164
    78.0, 164
    81.0, 164
    87.0, 165
    91.0, 164
    99.0, 165
   102.0, 165
   105.0, 164
   114.0, 165
   118.0, 166
   121.0, 165
   125.0, 165
   130.0, 163
   138.0, 169
   140.0, 171
   149.0, 165
   153.0, 167
   158.0, 169
   163.0, 169
   168.0, 170
   170.0, 172
   175.0, 171
   181.0, 170
   186.0, 170
   192.0, 169
   198.0, 164
   204.0, 168
   209.0, 166
   213.0, 165
   215.0, 165
   224.0, 168
   228.0, 168
   230.0, 167
   235.0, 163
   244.0, 166
   246.0, 165
   251.0, 166
   255.0, 167
   263.0, 163
   265.0, 164
   273.0, 170
   278.0, 172
   280.0, 173
   288.0, 172
   290.0, 170
   299.0, 168
   300.0, 169
   305.0, 173
   310.0, 170
   319.0, 168
   324.0, 170
   327.0, 170
   332.0, 166
   339.0, 167
   342.0, 168
   345.0, 168
   354.0, 164
   359.0, 167
   361.0, 170
   368.0, 163
   374.0, 168
   375.0, 169
   380.0, 170
   390.1, 172
   398.1, 166
   404.1, 164
   406.1, 164
