Workout date, 2020-03-09 10:29:09 
Duration, 96
Calories burned, 0
Mean heart rate, 162.05
Maximum heart rate, 169
Notes, Climbing

Time (seconds), Rate (beats per minute)
     9.7, 129
    14.7, 127
    15.7, 128
    20.7, 131
    25.7, 139
    94.7, 169
