Workout date, 2020-03-09 10:18:40 
Duration, 104
Calories burned, 0
Mean heart rate, 120.19
Maximum heart rate, 130
Notes, Climbing

Time (seconds), Rate (beats per minute)
     9.7, 120
    14.7, 115
    17.7, 115
    21.7, 114
    25.7, 114
    34.7, 123
    39.7, 123
    40.7, 123
    45.7, 130
