Workout date, 2020-03-09 10:45:56 
Duration, 94
Calories burned, 0
Mean heart rate, 153.46
Maximum heart rate, 171
Notes, Climbing

Time (seconds), Rate (beats per minute)
     5.8, 113
     9.8, 113
    14.8, 114
    19.8, 109
    20.8, 110
    25.8, 117
    31.8, 137
    78.8, 171
    80.8, 168
    85.8, 164
