Workout date, 2020-03-09 10:24:35 
Duration, 52
Calories burned, 0
Mean heart rate, 141.15
Maximum heart rate, 150
Notes, Climbing

Time (seconds), Rate (beats per minute)
     9.7, 109
    14.7, 115
    19.7, 128
    20.7, 129
    44.7, 148
    49.7, 150
