Workout date, 2020-03-09 10:58:31 
Duration, 150
Calories burned, 0
Mean heart rate, 143.98
Maximum heart rate, 177
Notes, Climbing

Time (seconds), Rate (beats per minute)
     9.7, 108
    14.7, 109
    16.7, 110
    23.7, 122
    28.7, 131
    31.7, 122
    37.7, 102
    44.7, 119
    49.7, 121
    52.7, 118
    55.7, 114
    63.7, 130
    69.7, 113
    70.7, 113
    75.7, 125
    82.7, 144
   124.7, 172
   127.7, 172
   131.7, 171
   138.7, 177
   140.7, 174
