Workout date, 2020-03-09 10:38:02 
Duration, 124
Calories burned, 0
Mean heart rate, 132.00
Maximum heart rate, 151
Notes, Climbing

Time (seconds), Rate (beats per minute)
     5.8, 117
     9.8, 127
    14.8, 116
    18.8, 120
    20.8, 122
    29.8, 125
    31.8, 123
    39.8, 121
    40.8, 121
    45.8, 130
    54.8, 146
    57.8, 147
    60.8, 141
    65.8, 145
    70.8, 151
