Workout date, 2020-03-11 15:30:48 
Duration, 323
Calories burned, 0
Mean heart rate, 100.44
Maximum heart rate, 110
Notes, Climbing

Time (seconds), Rate (beats per minute)
    10.7, 75
    11.7, 75
    16.7, 73
    21.7, 72
    26.7, 74
    33.7, 77
    36.7, 77
    41.7, 77
    49.7, 76
    51.7, 77
    56.7, 76
    89.7, 107
   125.1, 102
   126.1, 102
   131.1, 102
   137.1, 104
   143.1, 109
   148.1, 110
   285.4, 106
   286.4, 105
   319.4, 100
