loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa)
2020-03-11 14:13:46.153 +0100,65688.59005925001,0.059234619140625,-1.059341430664062,-0.0096588134765625,65688.58503425001,-0.3579467782701121,0.2541173057110753,1.54347329814835,0.2231947779655457,0.05974245071411133,0.02829669415950775,0.06176794692873955,-0.02638369798660278,0.07092404365539551,XArbitraryZVertical,0.6968795637831871,-0.03378004215170855,-0.03959915352626722,0.7152967879497502,0.006866170559078455,-0.9996267557144165,-0.02643556520342827,65662.82436754167,unknown,2,2020-03-11 14:13:20.361 +0100,605625226.040729,0,44257.92,100.1227
2020-03-11 14:13:46.183 +0100,65688.60010925001,0.000946044921875,-1.044189453125,-0.053131103515625,65688.59508425,-0.3471279238817558,0.2428341897254201,1.545626998820249,0.1985043436288834,-0.1160706505179405,0.1351890563964844,0.05318340286612511,-0.05966770648956299,0.01477819681167603,XArbitraryZVertical,0.697575751597729,-0.03426688181269476,-0.03944071246430408,0.7146035727568426,0.006051296833902597,-0.9996832609176636,-0.02442770265042782,65662.82436754167,unknown,2,2020-03-11 14:13:20.361 +0100,605625226.040729,0,44257.92,100.1227
2020-03-11 14:13:46.184 +0100,65688.61015925001,-0.01202392578125,-1.046310424804688,-0.0773468017578125,65688.60513425,-0.2782986846011049,0.1728333733220739,1.547980570176073,0.1925861984491348,-0.1164519265294075,0.2805637121200562,-0.002975888550281525,-0.04445892572402954,-0.03065621852874756,XArbitraryZVertical,0.6982186385498194,-0.03546472768534685,-0.03907169408312568,0.7139371128824351,0.003921999596059322,-0.9997397065162659,-0.02246597222983837,65662.82436754167,unknown,2,2020-03-11 14:13:20.361 +0100,605625226.040729,0,44257.92,100.1227
2020-03-11 14:13:46.185 +0100,65688.62020925,-0.0391082763671875,-1.004623413085938,-0.0784454345703125,65688.61518425001,-0.1402246252879847,0.03365940998179178,1.550243293099814,0.2112962305545807,-0.1048216372728348,0.3157416582107544,-0.01271535828709602,-0.04653114080429077,-0.05680221319198608,XArbitraryZVertical,0.6988286064448377,-0.03702603343153434,-0.03828767958178205,0.7133033070164752,0.0006914673722349107,-0.9997888207435608,-0.0205353032797575,65662.82436754167,unknown,2,2020-03-11 14:13:20.361 +0100,605625226.040729,0,44257.92,100.1227
2020-03-11 14:13:46.186 +0100,65688.63025825001,-0.0503387451171875,-0.9956207275390625,-0.0405731201171875,65688.62523325,0.01411825606205292,-0.1213115647205561,1.552759124702074,0.3142967522144318,-0.02107454463839531,0.2322323173284531,-0.03692673519253731,-0.004795610904693604,-0.06054151058197021,XArbitraryZVertical,0.6997035017257446,-0.03831049579585399,-0.03744795166295541,0.7124217846789005,-0.002181537682190537,-0.999837338924408,-0.01789463125169277,65662.82436754167,unknown,2,2020-03-11 14:13:20.361 +0100,605625226.040729,0,44257.92,100.1227
2020-03-11 14:13:46.186 +0100,65688.64030825,-0.03076171875,-0.9871368408203125,-0.023040771484375,65688.63528325,0.1738322375394089,-0.2808702909615918,1.555476286715538,0.3085075616836548,0.04125380888581276,0.183777704834938,-0.0460934229195118,0.004252374172210693,-0.025848388671875,XArbitraryZVertical,0.7007979637037046,-0.03904517147547718,-0.03660410753096774,0.7113492581381408,-0.004245339427143335,-0.9998826384544373,-0.01471537724137306,65662.82436754167,unknown,2,2020-03-11 14:13:20.361 +0100,605625226.040729,0,44257.92,100.1227
2020-03-11 14:13:46.187 +0100,65688.65035825,-0.025787353515625,-0.9923553466796875,-0.0267181396484375,65688.64533325001,0.3603708852963892,-0.4671695458937357,1.557652195448402,0.2747766673564911,-0.01054359134286642,0.1478631347417831,-0.02484935894608498,0.01276755332946777,-0.0113103985786438,XArbitraryZVertical,0.7018337324096243,-0.03960703317157557,-0.03587459811788644,0.7103333726427273,-0.005912388674914837,-0.9999136328697205,-0.01172139029949903,65662.82436754167,unknown,2,2020-03-11 14:13:20.361 +0100,605625226.040729,0,44257.92,100.1227
2020-03-11 14:13:46.196 +0100,65688.66040825,-0.026092529296875,-1.006484985351562,-0.03466796875,65688.65538325001,0.5621319054298851,-0.6693008416750722,1.558979681261965,0.1943220198154449,-0.0665767639875412,0.1444683969020844,-0.01846501231193542,0.00756537914276123,-0.01745301485061646,XArbitraryZVertical,0.7026731257994596,-0.04028151284017985,-0.03546168268351919,0.7094858528063465,-0.007322384044528008,-0.999930202960968,-0.009255755692720413,65662.82436754167,unknown,2,2020-03-11 14:13:20.361 +0100,605625226.040729,0,44257.92,100.1227
2020-03-11 14:13:46.206 +0100,65688.67045725,-0.0098724365234375,-1.00732421875,-0.049163818359375,65688.66543225001,0.7310059208804491,-0.8392478535655621,1.559041948238407,0.05180278420448303,-0.1559270173311234,0.159514307975769,-0.0173521563410759,-0.006563723087310791,-0.02681207656860352,XArbitraryZVertical,0.7031219931311858,-0.04118586368526142,-0.03531451828777303,0.708996454352931,-0.008740433491766453,-0.9999309182167053,-0.007846374996006489,65662.82436754167,unknown,2,2020-03-11 14:13:20.361 +0100,605625226.040729,0,44257.92,100.1227
2020-03-11 14:13:46.216 +0100,65688.68050725,0.00408935546875,-1.018386840820312,-0.0711517333984375,65688.67548225001,0.7624761295041216,-0.8726891711825312,1.557535146456525,-0.1893216818571091,-0.2388866096735001,0.1340174674987793,0.0002742484211921692,-0.007421612739562988,-0.04064077138900757,XArbitraryZVertical,0.7028147540913989,-0.04236229381012523,-0.0355297693331357,0.7092209013671122,-0.01014675665646791,-0.9999120831489563,-0.008513715118169785,65662.82436754167,unknown,2,2020-03-11 14:13:20.361 +0100,605625226.040729,0,44257.92,100.1227
